销售人员	公司名称	联系人	电话	手机	地址	经营产品类别	E-mail	QQ	微信号	备注信息
刘傲	杭州立鑫医疗器械有限公司	沈晓冬	0571-85243693 87770513	13819190286	杭州市余杭余杭街道圣地路9号	医疗器械	hzlxyl@126.com			
刘傲	德国XION艾克松有限公司中国代表处		0571-85819408 		杭州天目山路327号合生国贸中心1号楼5层	医疗器械	tongjw@xion-medical.cn			
刘傲	浙江天松医疗器械股份有限公司		0571-64241158 64241799 		桐庐经济技术开发区尖端路168号	医疗器械	market@zj-tiansong.com			
刘傲	桐庐康尔医疗器械有限公司		0571-64250383		桐庐经济开发区阆苑路108号	医疗器械	web@hz-keqx.com			
刘傲	杭州康友医疗设备有限公司		0571-64250788		桐庐经济开发区瑶琳路18号	医疗器械	hzky@china-kangyou.com			
刘傲	桐庐福克医疗仪器有限公司		0571-64289998 		桐庐深澳工业园区	医疗器械	fukeyl@163.com			
刘傲	桐庐精锐医疗器械有限公司		0571-64608698 		桐庐县城青山路129号	医疗器械	jingrui100@163.com			
刘傲	桐庐康博医用器械有限公司		0571-64289666		桐庐县东兴路225号	医疗器械	tl-kangbo@163.com			
刘傲	桐庐洲济医疗器械有限公司		0571-64261988 64261808 	13805762508	桐庐县凤川台商开发区	医疗器械	1979922222@qq.com			
刘傲	桐庐万禾医疗器械有限公司		0571-69915076 69915078		桐庐县县城高家路328号	医疗器械	1351660614@qq.com			
刘傲	桐庐优视医疗器械有限公司		0571-64278885 64278886 64278887 		桐庐县县城尖端路112号	医疗器械	youshi@china-youshi.com		 微信号：youshiyiliao    	
刘傲	杭州爱普医疗器有限公司		0571-23202211 23202211		富阳市春华村宝山路1号	医疗器械	bcf0066@yahoo.com			
刘傲	杭州爱普医疗器股份有限公司	俞青霞	0571-23202211 23202211		富阳市春华村宝山路1号	医疗器械	bcf0066@yahoo.com			
刘傲	浙江安吉华埠实业有限公司		0572-5024672 		安吉县地铺镇三官路1号	医疗器械	hb@86medical.com			
刘傲	安吉万德医疗用品有限公司	葛云飞	0572-5528222 		安吉县上墅工业园区	医疗器械	wande@zjwande.com			
刘傲	安吉宝康医疗器械有限公司	严立清	0572-5225968		安吉县天荒坪镇井村村	医疗器械	info@ajbk.cn			
刘傲	宁波市爱达维电器有限公司		0574-58961012		慈溪市附海镇工业园区新塘路828号	医疗器械	customerservice@advan-china.com			
刘傲	慈溪市飞腾医疗器械厂		0574-63281505 	13805827021	慈溪市古塘街道坎墩大道398号	医疗器械				
刘傲	宁波慈北医疗器械有限公司		0574-63667369 		慈溪市观海卫镇东开发区小团浦东路8号	医疗器械	cbzj@cbzj.com.cn			
刘傲	慈溪市瑞康医疗设备有限公司		0574-63288045 		慈溪市坎墩工业区慈溪大道坎墩西路451号	医疗器械	sale@rkylsb.com			
刘傲	慈溪市南宇医疗器械有限公司	许浙南	0574-63288976		慈溪市坎墩街道兴镇街1378号	医疗器械				
刘傲	宁波祥安气压元件制造有限公司		0574-63280787 		慈溪市坎墩顺泰路429号	医疗器械	hqy@nbxaqy.com			
刘傲	慈溪市三北医疗器械厂	陈诚	0574-63742324 	13336899467	慈溪市掌起镇陈家村	医疗器械				
刘傲	浙江微度医疗器械有限公司		0579-86558880 86558001		东阳市横店工业区江南二路339号	医疗器械	wedu@wedumedical.com			
刘傲	宁波迈迪科医疗科技有限公司		0574-88829990		奉化市溪口镇工业区元丰路9号	医疗器械				
刘傲	海盐康源医疗器械有限公司		0573-86725882 		海盐县沈荡镇宋坡东路	医疗器械	itd@kymadical.cn			
刘傲	安吉正邦医疗器械有限公司		0572-5041777 		湖州安吉县	医疗器械	ajneomed@vip.126.com			
刘傲	安吉富瑞家具有限公司		0572-5213810		湖州市安吉县安吉塘浦工业园区	医疗器械	mayqi@foxmail.com			
刘傲	安吉远东卫生材料有限公司		0572-5245111 		湖州市安吉县报福镇	医疗器械	ydmed@ydmed.com			
刘傲	安吉三方医疗器械有限公司开发区分公司		0572-5678681-0		湖州市安吉县递铺镇	医疗器械	esansan@126.com			
刘傲	安吉恒丰卫生材料有限公司		0572-5033761-0		湖州市安吉县递铺镇安城	医疗器械	hf@hfbandage.com			
刘傲	浙江安吉万德医疗用品有限公司		0572-5528222		湖州市安吉县上墅工业园区	医疗器械	jackey_anjiwande@aliyun.com			
刘傲	安吉吉祥医疗用品有限公司		0572-5882801 		湖州市安吉县塘浦工业区	医疗器械	jamesgao@spenq.com			
刘傲	安吉宏德医疗用品有限公司		0572-5885288		湖州市安吉县天荒坪镇井村村	医疗器械	hd@hdmedical.com.cn			
刘傲	安吉简成医疗科技有限公司		0572-5903991		湖州市安吉县阳光大道719号6幢3层	医疗器械	371693318@qq.com			
刘傲	安吉县阳光医药用品有限责任公司		0572-5302899		湖州市安吉县阳光工业区	医疗器械	info@sunlight-med.com			
刘傲	德清金地包装有限公司		0572-8889099 8889098 	18698506999	湖州市德清县武康镇长安街292号	医疗器械	1985830576@qq.com	1985830576		
刘傲	浙江硕华医用塑料有限公司		0572-8408088		湖州市德清县钟管镇龙山路148号	医疗器械	alexis@sorfa.com.cn			
刘傲	湖州市南浔鑫江医疗器械设备有限公司		0572-3032307		湖州市南浔镇燕山路4号	医疗器械	xinjiangyiliao@aliyun.com			
刘傲	湖州格瑞医用纺织品有限公司		0572-8081616 		德清县武康镇丰庆街106号	医疗器械	gr_1116@163.com			
刘傲	德清县新德意医疗器械有限公司		0572-8444124		德清县新市镇新马路22号	医疗器械	xdy8444124@163.com			
刘傲	浙江曙光医疗器械制造有限公司	刘良有15824328565 	0573-87965870 		海宁市农发区启辉路12号 金豆子医疗产业园	医疗器械	liuliangyou@dawningmedical.com	807030710		
刘傲	嘉善加斯戴克医疗器械有限公司		0573-84200326 		嘉兴市嘉善县晋阳东路568号3号楼4层	医疗器械	1713493091@qq.com			
刘傲	嘉兴奥比机电有限公司		0573-84061899-106		嘉兴市嘉善县罗星街道金秀路81号	医疗器械	sales@orbitec.com.cn			
刘傲	嘉兴裕生医疗器械科技有限公司		0573-82848118 		嘉兴市南湖区城南路1369号科创中心综合楼203室	医疗器械	gary@ulifemedical.com			
刘傲	嘉兴中法医疗器械有限公司		0573-83133191 		嘉兴市南湖区凤桥镇庄史村中法集团1幢38号	医疗器械	jin997654432@163.com			
刘傲	浙江伏尔特医疗器械有限公司		0573-88106708 88107358		嘉兴市桐乡经济开发区新民南路35号	医疗器械	zjfert@zjfert.com			
刘傲	嘉兴市科邦医用包装有限公司	杨总18957376811	0573-88488699 88488618		嘉兴市桐乡市凤鸣街道同福东路188号	医疗器械	medicalpack01@jxkebang.com			
刘傲	嘉兴市舒福特生物科技有限公司		0573-88956538 		嘉兴市桐乡市凤栖西路66号	医疗器械	1398497990@qq.com			
刘傲	浙江鼎泰药业有限公司		0573-88115629		嘉兴市桐乡市经济开发区环城南路66号	医疗器械	dingtaiyewu@163.com			
刘傲	嘉兴礼海电气科技有限公司		021-34688572		嘉兴市王江泾开发区新永联路410号	医疗器械	Chris_mao@refinedchina.com			
刘傲	浙江三创生物科技有限公司		0573-82750020		嘉兴市秀洲工业区洪业路228号上海交大(嘉兴)科技园1号楼	医疗器械	1016603288@QQ.COM			
刘傲	浙江润强医疗器械股份有限公司		0573-88037508 82765625		嘉兴市秀洲区大德路618号	医疗器械	zjrunqiang@zjrunqiang.com			
刘傲	世源科技(嘉兴)医疗电子有限公司		0573-83916501		嘉兴市秀洲区洪高路1805号	医疗器械	kwong@alleset.com			
刘傲	嘉兴米克气动设备有限公司	张明华	0573-82759968		嘉兴市秀洲区新农路677号	医疗器械	2491824188@qq.com			
刘傲	浙江辰和医疗设备有限公司		0573-82289869 		嘉兴市秀洲区义庄路869号	医疗器械	156538824@qq.com			
刘傲	浙江苏嘉医疗器械股份有限公司	徐主任	0573-82223311 82222666		嘉兴市振兴路168号	医疗器械	sujia18@zjsj.com.cn			
刘傲	杭州朗索医用消毒剂有限公司		0571-64793003 021-64228510-8025		建德市朗索路1号	医疗器械	wangqi@lionser.com			
刘傲	浙江康慈医疗科技有限公司		0570-4968333 		江山市经济开发区山海协作区汇源路20号	医疗器械	zjkangci@126.com			
刘傲	浙江金华星期一生物技术有限公司	姜先生	0579-82265338		金华市工业园区仙华北街398号	医疗器械	978689948@qq.com			
刘傲	金华市康佳医疗器械厂		0579-82310153 		金华市金东区东孝工业区庆成路163号	医疗器械	jhkangjia@163.com			
刘傲	金华市景迪医疗用品有限公司		0579-89116768		金华市金东区孝顺镇低田功能区/2幢	医疗器械	jingdi@jhjingdi.com			
刘傲	金华市安成医疗器械有限公司	汪小雅15067993589	0579-83202186		金华市青年路	医疗器械				
刘傲	金华市青阳生物科技有限公司	戴俊彬13216231980	0579-89808877 82210600		金华市始丰路131号6幢厂房第三层	医疗器械				
刘傲	金华市晨曦医疗器械有限公司	丁一阳15355338998	0579-82887589		金华市婺城区宾虹西路585号厂房C幢四楼	医疗器械	jhdingyy@qq.com			
刘傲	浙江省金华市科迪仪器设备有限公司		0579-82338734 83522561		金华市婺城区金华市秋滨街道始丰路899号	医疗器械	jhkedi2@zjkedi.com			
刘傲	浙江省金华市华通医疗器械有限公司		0579-82311730		金华市婺城区苏孟乡苏孟村梅溪街23号	医疗器械	jhhtyx@yahoo.com.cn			
刘傲	金华徐超群医疗器械厂		0579-82660793		金华市婺城区汤溪镇冬畈村	医疗器械				
刘傲	浙江科惠医疗器械股份有限公司	任海民	0579-82339460 		金华市仙华南街466号	医疗器械	yhm0517@126.com			
刘傲	浙江汇康医药用品有限公司		0579-85699108 		金华市义乌江湾工业区	医疗器械	huikang0108@163.com			
刘傲	浙江邦好宁医药用品有限公司	吕志冠	0579-85421400 		金华市义乌市北苑街道景三路10号	医疗器械	2880177632@qq.com			
刘傲	浙江红雨医药用品有限公司		0579-85581308 85070547	13906899083	金华市义乌市义南工业区	医疗器械	hongyu@cnhongyu.cn			
刘傲	浙江环龙新材料科技有限公司		0579-89922363		金华市义乌市义南工业区彩云路29号	医疗器械	chenyan8011@huanlong.cc			
刘傲	永康市好哥工贸有限公司		400-026-0809 0579-87251162 	13758989818	金华市永康市城西新区玉桂路88-9号	医疗器械	haogeco@163.com			
刘傲	永康市双锦保健器材厂	吕锦章	0579-87501716 		金华市永康市唐先镇大后工业区	医疗器械	sj@shuangjincn.com			
刘傲	永康市锦康保健器材厂		0579-87590578 		金华市永康市唐先镇桐溪村工业区	医疗器械	413433494@qq.com			
刘傲	金华市益迪医疗设备有限公司		0579-82472777 		金华市竹马工业园区	医疗器械	zjyidi@163.com			
刘傲	浙江华中医疗设备有限公司		0577-62551185 		乐清市乐成街道乐湖路18号	医疗器械	yh001105@163.com			
刘傲	浙江康力迪医疗用品有限公司		0577-62704220 		乐清市柳市上五宅东山工业区	医疗器械	klidi@klidi.com			
刘傲	乐清市康复医疗设备厂		0577-62579668		乐清市宁康东路380号	医疗器械	cocet@cocet.com.cn			
刘傲	乐清市金康特医疗器材有限公司		0577-62218011 		乐清市蒲岐特色工业园区	医疗器械	dk88@yeah.net			
刘傲	嘉恒医疗科技有限公司		0577-62882377		乐清市石帆镇河沿村	医疗器械	jhms@jhmd.com.cn			
刘傲	浙江赛弗迪生物科技有限公司		0571-86609769 		丽水市缙云县五东工业园区	医疗器械	512001143@qq.com			
刘傲	浙江省遂昌双剑医疗器械有限公司		0578-8122962		丽水市遂昌县妙高镇车站路1弄18号	医疗器械	cndoubiesword@alibaba.com.cn			
刘傲	浙江灵洋医疗器械有限公司		0576-85800258 		临海市白水洋镇临仙路19号	医疗器械	ly1@ly-medical.com			
刘傲	浙江华威科学仪器有限公司		0576-85114891		临海市张洋路237号	医疗器械	lw@hwlab.cn			
刘傲	宁波迈达医疗仪器有限公司		0574-86808886 025-87770605		宁波保税南区庐山西路167-8号	医疗器械	info@medkinetic.com			
刘傲	宁波美晶医疗技术有限公司	张晓晶	0574-55663006		宁波高新区光华路299弄6幢12号1-1	医疗器械	Info@nanolitesystems.com			
刘傲	宁波科瑞思医疗器械有限公司		0574-87913736		宁波高新区凌云路1177号2栋2层	医疗器械	info@cristofoli.cn			
刘傲	宁波柯泰医疗器械有限公司		0574-87739070 		宁波高新区万特商务中心1号楼18-3	医疗器械	info@greetmed.com			
刘傲	浙江星博生物科技有限公司		0574-83887780		宁波国家高新区新晖路139号艾利特科技园2号楼	医疗器械				
刘傲	宁波圣宇瑞医疗器械有限公司		0574-63261660 		宁波杭州湾新区滨海四路138号	医疗器械	lily@soundway-medical.com			
刘傲	德马格塑料机械（宁波）有限公司	陈列平	0574-86181500 		宁波市北仑区昆仑山路669号	医疗器械	sale.cn@dpg.com			
刘傲	宁波贝斯美德医用器械有限公司	高红枫	0574-26878997 		宁波市北仑区莫干山路51号	医疗器械	nbo.sales01@besmed.com			
刘傲	宁波市诚德医疗科技有限公司	汪华国	0574-83071825 		宁波市北仑区戚家山兴中路20号1幢1号	医疗器械	info@chinmed.cc			
刘傲	海天国际控股有限公司	王国强	0574-56561719 		宁波市北仑区小港海天路1688号	医疗器械	wangguoqiang@mail.haitian.com			
刘傲	宁波华生医疗器械有限公司	钱树镇	0574-63429999 		宁波市慈溪坎墩工业园区顺和路98号	医疗器械	939056290@qq.com			
刘傲	慈溪市崇寿镇仁南医疗器材厂	屠长明	0574-63298372		宁波市慈溪市庵东镇海星村水南路34弄4	医疗器械				
刘傲	宁波华莱斯医疗器械有限公司		0574-63419916 		宁波市慈溪市长河镇长兴路801号	医疗器械	why@cxhls.com			
